"District", "Precinct", "LastName", "LastNameSuffix", "FirstName", "MiddleName", "HouseNumber", "Direction", "StreetName", "Unit", "Address", "City", "zip", "ParcelCode", "Phone", "Email", "Age", "DateofRegistration", "OriginalDateofRegistration", "Party", "Gender", "AbsenteeType", "Congressional", "Senate", "Representative", "County_Forest_District", "2018 General", "2018 Primary", "2017 Consolidated General", "2017 Consolidated Primary", "2016 General", "2016 Primary", "2015 Consolidated General", "2014 General", "2014 Primary", "2013 Consolidated General", "2013 Consolidated Primary", "2012 General", "2012 General Primary", "2011 Consolidated General", "2010 General", "2010 General Primary"
"Taxing District", "Precinct003", "Doe00000", "", "Scott", "", "27W148", "", "Street00000", "", "27W148 Street00000", "Warrenville", "60555", "0436406023", "(123) 555-1234", "", 56, "2017-08-24", "1992-01-24", "NA", "M", "", "6", "21", "41", "6", "Polling Place", "", "", "", "Polling Place", "", "", "Polling Place", "", "", "", "Polling Place", "", "", "Polling Place", ""
"Taxing District","Precinct003","Doe00001","","Denise","","27W148","","Street00000","","27W148 Street00000","Warrenville","60555","0436406023","(123) 555-1234","","58","2015-01-18","2000-08-28","NA","F","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00002","","James","D","27W150","","Street00000","","27W150 Street00000","Warrenville","60555","0436406022","(123) 555-1234","","72","2017-02-02","1977-11-21","R","U","","6","21","41","6","Polling Place","R-Polling Place","","","Polling Place","","","","R-Polling Place","","","Early Voting","R-Polling Place","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00002","","Sharon","E","27W150","","Street00000","","27W150 Street00000","Warrenville","60555","0436406022","(123) 555-1234","","68","2019-05-07","2000-09-27","D","F","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","","","Polling Place","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00004","","Susan","J","27W151","","Street00000","","27W151 Street00000","Warrenville","60555","0436407020","(123) 555-1234","","57","2019-04-05","1990-12-06","R","F","","6","21","41","6","","","","","","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00004","","Scott","J","27W151","","Street00000","","27W151 Street00000","Warrenville","60555","0436407020","(123) 555-1234","","58","2018-05-06","1981-04-16","R","M","","6","21","41","6","","","","","Polling Place","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00004","","Brian","S","27W151","","Street00000","","27W151 Street00000","Warrenville","60555","0436407020","(123) 555-1234","","25","2015-12-28","2011-01-16","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00007","","Susan T","","27W152","","Street00000","","27W152 Street00000","Warrenville","60555","0436406021","(123) 555-1234","","57","2017-05-12","2013-01-15","D","F","","6","21","41","6","Polling Place","D-Polling Place","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00007","","Gerald E","","27W152","","Street00000","","27W152 Street00000","Warrenville","60555","0436406021","(123) 555-1234","","59","2013-04-16","2017-04-15","R","M","","6","21","41","6","Vote by Mail","R-Polling Place","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00009","","Charles","E","27W153","","Street00000","","27W153 Street00000","Warrenville","60555","0436407019","(123) 555-1234","","68","2016-12-17","1985-11-03","D","M","","6","21","41","6","Vote by Mail","D-Polling Place","Polling Place","","Early Voting","","","Polling Place","","","","Polling Place","","","Polling Place",""
